01802 | 0000266012 | 0000005740 | 0000000600 | 0000000646| 
01804 | 0000708884 | 0000029816 | 0000007592 | 0000008244| 
01809 | 0000273008 | 0000006976 | 0000000692 | 0000000768| 
01817 | 0000291296 | 0000007272 | 0000000976 | 0000001041| 
01822 | 0000859800 | 0000031236 | 0000008260 | 0000008976| 
01823 | 0000442344 | 0000062272 | 0000050040 | 0000050931| 
01826 | 0000272800 | 0000006384 | 0000000716 | 0000000768| 
01829 | 0000708564 | 0000029652 | 0000007600 | 0000008283| 
01832 | 0001106948 | 0000032116 | 0000008596 | 0000009543| 
01833 | 0000388072 | 0000013740 | 0000001948 | 0000002171| 
01834 | 0000278096 | 0000006500 | 0000000672 | 0000000739| 
01838 | 0000863124 | 0000030476 | 0000007908 | 0000008607| 
01844 | 0001223412 | 0000032500 | 0000008356 | 0000009350| 
01848 | 0000196352 | 0000005740 | 0000000588 | 0000000633| 
01849 | 0001155068 | 0000033672 | 0000008956 | 0000009864| 
01852 | 0000261368 | 0000009256 | 0000001220 | 0000001386| 
01853 | 0000196372 | 0000005808 | 0000000600 | 0000000656| 
01857 | 0000270088 | 0000006024 | 0000000652 | 0000000706| 
01859 | 0000299756 | 0000008952 | 0000001124 | 0000001413| 
01863 | 0000372712 | 0000007112 | 0000001040 | 0000001131| 
01867 | 0000327504 | 0000008728 | 0000001116 | 0000001228| 
01871 | 0000793724 | 0000030908 | 0000008508 | 0000009201| 
01882 | 0000199340 | 0000006968 | 0000000720 | 0000000796| 
02081 | 0000319272 | 0000013920 | 0000004988 | 0000005358| 
02177 | 0000406316 | 0000010356 | 0000002636 | 0000002998| 
02264 | 0000077328 | 0000008200 | 0000001792 | 0000002483| 
02265 | 0000259804 | 0000003580 | 0000001532 | 0000001720| 
02278 | 0000430448 | 0000008440 | 0000002372 | 0000002694| 
02283 | 0000206444 | 0000006072 | 0000000668 | 0000000714| 
02285 | 0001079656 | 0000163868 | 0000076144 | 0000113315| 
02303 | 0000051888 | 0000006300 | 0000002548 | 0000002650| 
02306 | 0000563472 | 0000015484 | 0000003048 | 0000003486| 
02393 | 0000011312 | 0000001216 | 0000000320 | 0000000360| 
02399 | 0000349452 | 0000006552 | 0000000784 | 0000000866| 
02404 | 0000050064 | 0000004488 | 0000000656 | 0000000758| 
02406 | 0000220792 | 0000007108 | 0000000832 | 0000000926| 
02423 | 0000360052 | 0000007328 | 0000001056 | 0000001163| 
02428 | 0000416120 | 0000006116 | 0000000936 | 0000000978| 
02459 | 0004141872 | 0000355512 | 0000296492 | 0000306045| 
02472 | 0002515656 | 0000020320 | 0000004820 | 0000007167| 
02516 | 0000358684 | 0000011544 | 0000004896 | 0000005028| 
02517 | 0000266008 | 0000005864 | 0000000612 | 0000000660| 
02522 | 0000616056 | 0000017888 | 0000003508 | 0000004273| 
02528 | 0000275212 | 0000006952 | 0000000808 | 0000000907| 
02530 | 0000338952 | 0000021516 | 0000004828 | 0000005144| 
02532 | 0000273008 | 0000006900 | 0000000804 | 0000000878| 
02546 | 0000188152 | 0000005424 | 0000000980 | 0000001035| 
02552 | 0000301104 | 0000009628 | 0000002124 | 0000002330| 
02558 | 0000283108 | 0000006808 | 0000000976 | 0000001052| 
02562 | 0000373164 | 0000007828 | 0000001180 | 0000001289| 
02570 | 0001301352 | 0000024636 | 0000005080 | 0000006051| 
02571 | 0000268388 | 0000006268 | 0000000812 | 0000000882| 
02575 | 0000778400 | 0000028112 | 0000006272 | 0000009698| 
02588 | 0000297960 | 0000008228 | 0000001444 | 0000001556| 
02593 | 0000275016 | 0000006888 | 0000000944 | 0000001002| 
02632 | 0000793360 | 0000025756 | 0000006296 | 0000006936| 
